ID,latitude,longitude,address,state,town,pinno,verified,reverse_geocoded_address,new_latitude,new_longitude,HDBSCAN_cluster_address,HDBSCAN_cluster_reverse,cluster_match,cosine_similarity
10004,19.0508048,72.9042676, atur park basant garden chembur mumbai  400071,maharashtra,mumbai,400071,Y,"Shop No 11, 12, Sion - Trombay Rd, opp. Maitri Park, next to Ajanta Wines Shop, Atur Park, Basant Garden, Chembur, Mumbai, Maharashtra 400071, India",19.0500631,72.9049757,90,136,False,0.54795766
10006,19.0829897,72.906953,tilak road opp bikaji ghatkopare 400077,maharashtra,mumbai,400077,Y,"Shop No.4, Neelkanth Sadan, Hingwala Ln, opp. Electric office, Saibaba Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India",19.0830991,72.9066114,271,231,False,0.4832443
10010,19.1114996,72.9279308,station road vikhroliwest station road 400083,maharashtra,mumbai,400083,Y,"5, Station Rd, near Laxmi dairy, Lokamanya Nagar, Gandhi Nagar, Vikhroli West, Mumbai, Maharashtra 400083, India",19.1113672,72.9275807,265,-1,False,0.51344466
10011,19.0932824,72.912599,oppshreyas cinema lbsmarg ghatkoparw 400082,maharashtra,mumbai,400082,Y,"1, Lal Bahadur Shastri Marg, Sainath Nagar, Nityanand Nagar, Ghatkopar West, Mumbai, Maharashtra 400086, India",19.0931042,72.91247659999999,33,480,False,0.35360962
10014,19.0701489,72.8782098,nr bhaji mandi kurlaw  400070,maharashtra,mumbai,400070,Y,"Shop No 43 laxman road yadav market kurla bhaji market near fish market gate CST road kurla (w) Mumbai.70 Shop No 43 laxman road yadav market kurla bhaji market near fish market gate CST road, w) Mumbai.70, Ambedkar Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",19.0726295,72.8844721,312,216,False,0.4126364
10015,19.0682454,72.8749835,suleman khatri building  299f kurla west  kurla 400070,maharashtra,mumbai,400070,Y,"Bobby Apts, 299/6/7, Lal Bahadur Shastri Marg, near Taximens Colony, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",19.0682034,72.87493599999999,11,389,False,0.45007238
10016,19.0458033,72.9024433,shop no 03 vikas commercial centre chembur east near basant cinema 400074,maharashtra,mumbai,400074,Y,"B5, CG Rd, Wadavli, Vasant Vihar Complex, Chembur, Mumbai, Maharashtra 400071, India",19.045689,72.902464,-1,248,False,0.43345165
10018,19.1020474,72.8846254,shop no30dipak center safed pul saki naka mumbai 400072,maharashtra,mumbai,400072,Y,"Pioneer building, 58/b, Andheri - Kurla Rd, opposite AKRUTI ORCHID PARK, Saki Naka, Mumbai, Maharashtra 400059, India",19.1018925,72.8845817,-1,243,False,0.47531426
10020,19.0620093,72.9010123,navketan building n g aacharya marg chembur east  400071,maharashtra,mumbai,400071,Y,"Dr.Ambedkar Udyan or Chembur Station, Chembur West, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India",19.06197,72.901192,11,473,False,0.46805024
10022,19.0393616,72.9475798,chita camp mankhurd east 400088,maharashtra,mumbai,400088,Y,"4, MG Ramachandran Marg, B Sector, Datta Nagar, Trombay, Mumbai, Maharashtra 400088, India",19.0392526,72.947818,85,130,False,0.43352464
10032,19.0819424,72.9070523,tilak road ghatkopare  400089,maharashtra,mumbai,400089,Y,"Siddharth Apartment, Tilak Rd, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India",19.0818639,72.9069055,271,238,False,0.46986416
10033,19.0543206,72.8899094,sarala terrace vn purav marg swastik park chembur mumbai  400071,maharashtra,mumbai,400071,Y,"801, Ameet Tower V N Purav Marg Swastik Park, beside Tata Motors Cars Showroom, Wasan Motors, Chembur, Mumbai, Maharashtra 400071, India",19.0543532,72.8899751,-1,280,False,0.53984535
10034,19.0917599,72.8825901,shop no 18 rajesingh chawl jarimari mata mandir opp t2 beacon hotel 400072,maharashtra,mumbai,400072,Y,"Magan Nathuram Rd, Jarimari, Saki Naka, Mumbai, Maharashtra 400072, India",19.0910148,72.882378,20,355,False,0.5102941
10038,19.0745219,72.883487,new mill road kurlaw  400042,maharashtra,mumbai,400042,Y,"Hans Residency, 6, Masrani Ln, Halav Pool, Ali Yavar Jung, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",19.0752251,72.8850322,229,383,False,0.362819
10039,19.0752861,72.9053657,vikrant circle ghatkopare  400975,maharashtra,mumbai,400975,Y,"1204, Jhulelal Chowk, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra 400077, India",19.0752008,72.90530079999999,113,471,False,0.46684295
10042,19.0934413,72.9037215,nr pasayadan hospital r b kadam road wagadwalabhatwadi ghatkopar west mumbai 400086,maharashtra,mumbai,400086,Y,"WING-B, Ramchandra B Kadam Marg, Bhatwadi, Bhim Nagar, Barve Nagar, Ghatkopar West, Mumbai, Maharashtra 400084, India",19.0934614,72.9038253,49,464,False,0.50999796
10047,19.0390818,72.9466259,4 mg ramachandran marg cheeta camp sector f trombay mumbai 400088,maharashtra,mumbai,400088,Y,"Shop Number.27/28, New Janta Colony Cheeta Camp, Cheeta Camp, Sector G, Trombay, Mumbai, Maharashtra 400088, India",19.0382406,72.94651739999999,39,12,False,0.65551794
10048,19.1149934,72.8938581,chandivali farm rd powai mumbai mumbai 400072,maharashtra,mumbai,400072,Y,"4V7V+XHR, Chandivali Farm Rd, Chandivali, Powai, Mumbai, Maharashtra 400072, India",19.1076363,72.9010523,131,440,False,0.83264583
10049,19.0830324,72.8852184,lal bahadur shastri marg premier roadkurla west  400070,maharashtra,mumbai,400070,Y,"Shop No 1 Christian Colony, Holy Cross Church, opp. Rameshwar Mandir, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",19.0835307,72.8871228,313,-1,False,0.44852716
10050,19.1006423,72.9113156,b28 sagar park rd amrut nagar ghatkopar west mumbai maharashtra 400086,maharashtra,mumbai,400086,Y,"415, Sainath Nagar Rd, near Sagar Park Hsg society, Best Colony, Indira Nagar, Ghatkopar West, Mumbai, Maharashtra 400086, India",19.100651,72.911444,91,66,False,0.80571544
10051,19.0854688,72.9083264,in  out store aziz baug vashi naka  chembur mumbai74 400074,maharashtra,mumbai,400074,Y,"Ghatkopar, Jawahar Rd, Ghatkopar, Saibaba Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India",19.0857262,72.9089968,-1,485,False,0.56126624
